,gender,age,local_or_non_local,university,current_study,year_of_study,drinking_frequency,drinking_consumption_amount,drinking_frequency_six_servings,type_of_drink,drinking_occasion,drinking_frequency_before_examination,gpa,activity_1,activity_2,academic_achievements,professional_examinations,nationality,drinking_consumption_amount_score,drinking_frequency_score,drinking_frequency_six_servings_score,drinking_frequency_before_examination_score,risk_score
88,Male 男性,19,Local student 本地生,City University of Hong Kong (CityU) 香港城市大學,Undergraduate student 本科生,2.0,2-4 times a month 每月二至四次,2.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,2.89,1.0,0.0,0,0.0,Hong Kong,1,2,1,1,5
91,Female 女性,19,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,Monthly or less 少於每月,1.0,Never 從來不會,Beer 啤酒,Drinking alone 單獨飲酒,Never (0%) 從來不會,3.5,1.0,1.0,0,0.0,Hong Kong,1,1,0,0,2
92,Female 女性,20,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,2-4 times a month 每月二至四次,1.0,Never 從來不會,果酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;做paper",Usually (80%) 通常,3.5,1.0,1.0,2,0.0,Hong Kong,1,2,0,4,7
94,Female 女性,24,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,2.0,Less than once per month 少於每月,Spirits 烈酒,"Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Often (60%) 經常,3.555,0.0,0.0,1,0.0,Hong Kong,1,2,1,3,7
96,Female 女性,21,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,0.5,Never 從來不會,Beer 啤酒,Family gatherings 家庭聚會,Never (0%) 從來不會,3.2,1.0,0.0,4,2.0,Hong Kong,1,1,0,0,2
97,Female 女性,19,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,2-4 times a month 每月二至四次,2.0,Never 從來不會,Beer 啤酒,"Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.1,1.0,0.0,0,0.0,Hong Kong,1,2,0,1,4
98,Male 男性,22,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,12.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Sometimes (40%) 有時,3.12,1.0,1.0,0,0.0,Hong Kong,5,2,1,2,10
100,Female 女性,19,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,Monthly or less 少於每月,7.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.0,1.0,1.0,0,0.0,Indonesia,4,1,1,0,6
102,Female 女性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,2-4 times a month 每月二至四次,2.0,Never 從來不會,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.5,1.0,0.0,2,0.0,Indonesia,1,2,0,0,3
103,Female 女性,20,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,1.0,Never 從來不會,Beer 啤酒,"I don't consume alcoholic beverage 我不飲用含酒精的飲料;Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.73,1.0,0.0,5,0.0,China,1,1,0,0,2
104,Male 男性,23,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,Monthly or less 少於每月,3.0,Never 從來不會,Beer 啤酒,Networking or career-related events 社交或工作相關的場合,Never (0%) 從來不會,2.9,0.0,0.0,0,0.0,Hong Kong,2,1,0,0,3
105,Male 男性,20,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,2-3 times a week 每週二至三次,3.0,Less than once per month 少於每月,wine,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Drinking alone 單獨飲酒",Sometimes (40%) 有時,3.2,0.0,0.0,0,0.0,Hong Kong,2,3,1,2,8
107,Female 女性,19,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.5,0.0,0.0,0,0.0,Kazakhstan,0,0,0,0,0
108,Female 女性,19,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,2-4 times a month 每月二至四次,1.0,Never 從來不會,Cider ,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.475,1.0,1.0,4,0.0,Russia,1,2,0,0,3
